chapter,character,line
1,Michael,Eleanor?
1,Michael,Come on in.
1,Michael,"Hi, Eleanor."
1,Michael,I'm Michael.
1,Michael,How are you today?
1,Eleanor Shellstrop,I'm great.
1,Eleanor Shellstrop,Thanks for asking.
1,Eleanor Shellstrop,"Oh, one question."
1,Eleanor Shellstrop,Where am I?
1,Eleanor Shellstrop,"Who are you, and what's going on?"
1,Michael,"Right, so, you, Eleanor Shellstrop, are dead."
1,Michael,"Your life on Earth has ended, and you are now in the next phase of your existence in the universe."
1,Eleanor Shellstrop,Cool.
1,Eleanor Shellstrop,Cool.
1,Eleanor Shellstrop,I have some questions.
1,Michael,Thought you might.
1,Eleanor Shellstrop,How did I die?
1,Eleanor Shellstrop,I don't remember.
1,Michael,"Yes, um, in cases of traumatic or embarrassing deaths, we erase the memory to allow for a peaceful transition."
1,Michael,Are you sure you want to hear?
1,Michael,"All right, so you were in a grocery store parking lot."
1,Michael,"You dropped a bottle of something called, ""Lonely Gal Margarita Mix for One""."
1,Michael,"And when you bent down to pick it up, a long column of shopping carts that were being returned to the shopping cart collection area rolled out of control and plowed right into you."
1,Eleanor Shellstrop,Oof.
1,Eleanor Shellstrop,That's how I died?
1,Michael,"No, sorry, there's more."
1,Michael,"You were able to grab on to the front of the column of shopping carts, but it'd swept you right out into the street where you were struck and killed by a mobile billboard truck advertising an erectile dysfunction pill called ""Engorge-ulate""."
1,Michael,"Funnily enough, the first EMT to arrive was an ex-boyfriend of yours --"
1,Eleanor Shellstrop,"Okay, that's� I get it, thank you."
1,Michael,"Oh, okay, sorry."
1,Eleanor Shellstrop,"Um, so who was right?"
1,Eleanor Shellstrop,I mean about all of this?
1,Michael,"Well, let's see."
1,Michael,"Hindus are a little bit right, Muslims a little bit."
1,Michael,"Jews, Christians, Buddhists, every religion guessed about 5%, except for Doug Forcett."
1,Eleanor Shellstrop,Who's Doug Forcett?
1,Michael,"Well, Doug was a stoner kid who lived in Calgary during the 1970s."
1,Michael,"One night, he got really high on mushrooms, and his best friend, Randy, said, ""Hey, what do you think happens after we die?"""
1,Michael,And Doug just launched into this long monologue where he got like 92% correct.
1,Michael,"I mean, we couldn't believe what we were hearing."
1,Michael,"That's him, actually, right up there."
1,Michael,He's pretty famous around here.
1,Michael,I'm very lucky to have that.
1,Eleanor Shellstrop,So� maybe my biggest question.
1,Eleanor Shellstrop,Am I�
1,Eleanor Shellstrop,"I mean, is this�"
1,Eleanor Shellstrop,Or�
1,Michael,"Well, it's not the heaven-or-hell idea that you were raised on."
1,Michael,"But generally speaking, in the afterlife, there's a Good Place and there's a Bad Place."
1,Michael,You're in The Good Place.
1,Michael,"You're okay, Eleanor."
1,Michael,You're in The Good Place.
1,Eleanor Shellstrop,"Well, that's good."
1,Michael,Sure is.
1,Michael,"Okay, let's take a walk, shall we?"
1,Eleanor Shellstrop,"Oh, did I have a purse?"
1,Eleanor Shellstrop,"No, I'm dead, right."
1,Eleanor Shellstrop,Okay.
1,Michael,"So, this is how it works."
1,Michael,The Good Place is divided into distinct neighborhoods.
1,Michael,Each one contains exactly 322 people who have been perfectly selected to blend together into a blissful harmonic balance.
1,Eleanor Shellstrop,Do all the neighborhoods look like this?
1,Michael,"No, every neighborhood is unique."
1,Michael,"Some have warm weather, some cold."
1,Michael,"Some are cities, some farmland."
1,Michael,"But in each one, every blade of grass, every ladybug, every detail has been precisely designed and calibrated for its residents."
1,Eleanor Shellstrop,There's a lot of frozen yogurt places.
1,Michael,Yeah.
1,Michael,That's the one thing we put in all the neighborhoods.
1,Michael,People love frozen yogurt.
1,Michael,I don't know what to tell you.
1,Michael,"You're gonna have a million more questions, I know."
1,Michael,"For right now, better grab a seat."
1,Michael,Movie's about to begin.
1,Michael,Ah.
1,Michael,"Hello, everyone."
1,Michael,And welcome to your first day in the afterlife.
1,Michael,"You were all, simply put, good people."
1,Michael,But how do we know that you were good?
1,Michael,How are we sure?
1,Michael,"During your time on Earth, every one of your actions had a positive or a negative value, depending on how much good or bad that action put into the universe."
1,Michael,"Every sandwich you ate, every time you bought a magazine, every single thing you did had an effect that rippled out over time and ultimately created some amount of good or bad."
1,Michael,You know how some people pull into the breakdown lane when there's traffic?
1,Michael,"And they think to themselves, ""Ah, who cares? No one's watching."""
1,Michael,We were watching.
1,Michael,Surprise!
1,Michael,"Anyway, when your time on Earth has ended, we calculate the total value of your life using our perfectly accurate measuring system."
1,Michael,"Only the people with the very highest scores, the true cream of the crop, get to come here, to The Good Place."
1,Michael,"What happens to everyone else, you ask?"
1,Michael,Don't worry about it.
1,Michael,"The point is, you are here because you lived one of the very best lives that could be lived."
1,Michael,And you won't be alone.
1,Michael,Your true soulmate is here too.
1,Michael,That's right.
1,Michael,Soulmates are real.
1,Michael,"One of the other people in your neighborhood is your actual soulmate, and you will spend eternity together."
1,Michael,So welcome to eternal happiness.
1,Michael,Welcome to The Good Place.
1,Michael,Sponsored by� otters holding hands while they sleep.
1,Michael,You know the way you feel when you see a picture of two otters holding hands?
1,Michael,That's how you're gonna feel every day.
1,Eleanor Shellstrop,So who is in The Bad Place that would shock me?
1,Michael,"Uh� well, Mozart, Picasso, Elvis, basically every artist ever, uh, every US president except Lincoln."
1,Eleanor Shellstrop,That sounds about right.
1,Eleanor Shellstrop,What about Florence Nightingale?
1,Michael,"It was close, but, no, she didn't make it."
