id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;country;time_zone;is_city;is_main_station;is_airport;is_suggestable;country_hint;main_station_hint;sncf_id;sncf_tvs_id;sncf_is_enabled;idtgv_id;idtgv_is_enabled;db_id;db_is_enabled;busbud_id;busbud_is_enabled;distribusion_id;distribusion_is_enabled;flixbus_id;flixbus_is_enabled;cff_id;cff_is_enabled;leoexpress_id;leoexpress_is_enabled;obb_id;obb_is_enabled;ouigo_id;ouigo_is_enabled;trenitalia_id;trenitalia_is_enabled;trenitalia_rtvt_id;ntv_rtiv_id;ntv_id;ntv_is_enabled;hkx_id;hkx_is_enabled;renfe_id;renfe_is_enabled;atoc_id;atoc_is_enabled;benerail_id;benerail_is_enabled;westbahn_id;westbahn_is_enabled;sncf_self_service_machine;same_as;info:de;info:en;info:es;info:fr;info:it;info:nb;info:nl;info:cs;info:da;info:hu;info:ja;info:ko;info:pl;info:pt;info:ru;info:sv;info:tr;info:zh;normalised_code;iata_airport_code
1;Château-Arnoux—St-Auban;chateau-arnoux-st-auban;;;44.0817900000;6.0016250000;;FR;Europe/Paris;t;f;f;f;f;f;FRAAA;;t;;f;;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv1;
2;Château-Arnoux—St-Auban;chateau-arnoux-st-auban;8775123;87751230;44.0615651;5.9973734;1;FR;Europe/Paris;f;t;f;t;f;f;FRCAA;SAU;t;;f;8700156;f;;f;;f;;f;;f;;f;8700156;f;;f;;f;;;;f;;f;8700334;f;;f;FRCAA;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv2;
3;Château-Arnoux Mairie;chateau-arnoux-mairie;8775122;87751222;44.063863;6.011248;1;FR;Europe/Paris;f;f;f;t;f;f;FRHXG;;t;;f;8704959;f;;f;;f;;f;;f;;f;8704959;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv3;
4;Digne-les-Bains;digne-les-bains;;;44.3500000000;6.3500000000;;FR;Europe/Paris;t;f;f;f;f;f;FRAAB;;t;;f;;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;ディーニュ＝レ＝バン;디뉴레뱅;;;Динь-ле-Бен;;;迪涅萊班;urn:trainline:public:nloc:csv4;
6;Digne-les-Bains;digne-les-bains;8775149;87751495;44.088710133980605;6.222982406616211;4;FR;Europe/Paris;f;t;f;t;f;f;FRXDI;;t;;f;8703212;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;8700335;f;;f;;f;;f;f;;;;;;;;;;;;ディーニュ＝レ＝バン;디뉴레뱅;;;Динь-ле-Бен;;;迪涅萊班;urn:trainline:public:nloc:csv6;
7;La Crau;la-crau;8775561;87755611;43.1449352;6.0687663;;FR;Europe/Paris;f;f;f;t;f;f;FRAAC;LUV;t;;f;8703562;f;;f;;f;;f;;f;;f;8703562;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;Ла-Кро;;;拉克罗;urn:trainline:public:nloc:csv7;
8;Aire-sur-l’Adour;aire-sur-ladour;8767104;87671040;43.703854;-0.258269;;FR;Europe/Paris;t;f;f;t;f;f;FRAAD;;t;;f;8702631;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv8;
9;Cagnes-sur-Mer;cagnes-sur-mer;8775632;87756320;43.65813;7.14864;5768;FR;Europe/Paris;f;t;f;t;f;f;FRAAE;CGM;t;;f;8700480;f;;f;;f;;f;;f;;f;8700480;f;;f;8775632;f;;;;f;;f;8700373;f;;f;;f;;f;f;;;;;;;;;;;;カーニュ＝シュル＝メール;카뉴쉬르메르;;;Кань-сюр-Мер;;;卡涅;urn:trainline:public:nloc:csv9;
10;Menton;menton;;;43.7764860000;7.5043490000;;FR;Europe/Paris;t;f;f;f;f;f;FRAAF;;t;;f;;f;spv349;t;FRMEN;t;9288;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;t;;;;;;Mentone;;;;;;;;;;Ментона;;;;urn:trainline:public:nloc:csv10;
11;Menton;menton;8775648;87756486;43.774444;7.493300;10;FR;Europe/Paris;f;t;f;t;f;f;FRXMT;MEN;t;;f;8700150;f;;f;;f;;f;;f;;f;8700150;f;;f;8775648;t;S75648;;;f;;f;8700295;f;;f;FRXMT;f;;f;t;;;;;;Mentone;;;;;;;;;;Ментона;;;;urn:trainline:public:nloc:csv11;
12;Menton—Garavan;menton-garavan;8775649;87756494;43.785202;7.517297;10;FR;Europe/Paris;f;f;f;t;f;f;FRIAG;MNJ;t;;f;8701518;f;;f;;f;;f;;f;;f;8701518;f;;f;;f;;;;f;;f;8700240;f;;f;FRIAG;f;;f;f;;;;;;Mentone;;;;;;;;;;Ментона;;;;urn:trainline:public:nloc:csv12;
16;Vievola;vievola;;;;;;FR;Europe/Paris;t;f;f;f;f;f;FRAAH;;t;;f;;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv16;
17;Vievola;vievola;8300618;;;;16;FR;Europe/Paris;f;f;f;f;f;f;ITAAE;;t;;f;;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;18;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv18;
18;Vievola;vievola;8775689;87756890;44.1125561;7.5627976;16;FR;Europe/Paris;f;t;f;t;f;f;FRIAU;VVA;t;;f;8704841;f;;f;;f;;f;;f;;f;8704841;f;;f;8775689;t;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv18;
19;Mandelieu-la-Napoule;mandelieu-la-napoule;8775759;87757591;43.523903;6.941313;;FR;Europe/Paris;f;f;f;t;f;f;FRAAJ;MPV;t;;f;8701499;f;;f;;f;;f;;f;;f;8701499;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;マンドリュー＝ラ＝ナプール;망들리외라나풀;;;Мандельё-ла-Напуль;;;芒代利厄拉納普爾;urn:trainline:public:nloc:csv19;
23;Decazeville;decazeville;;;44.5500000000;2.2500000000;;FR;Europe/Paris;t;f;f;f;f;f;FRAAQ;;t;;f;;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;Деказвиль;;;代卡泽维尔;urn:trainline:public:nloc:csv23;
24;Decazeville Centre;decazeville-centre;8761367;87613679;44.561434;2.255896;23;FR;Europe/Paris;f;t;f;t;f;f;FRFTW;;t;;f;8703204;f;;f;;f;;f;;f;;f;8703204;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;Деказвиль;;;代卡泽维尔;urn:trainline:public:nloc:csv24;
25;Viviez—Decazeville;viviez-decazeville;8761366;87613661;44.5555678;2.2182582;23;FR;Europe/Paris;f;f;f;t;f;f;FRVZD;VZI;t;;f;8704899;f;;f;;f;;f;;f;;f;8704899;f;;f;;f;;;;f;;f;8700537;f;;f;FRVZD;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv25;
26;Decazeville Fontvergne;decazeville-fontvergne;8761369;87613695;44.55563533558816;2.263741493225097;23;FR;Europe/Paris;f;f;f;t;f;f;FRFTX;;t;;f;;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv26;
27;St-Sever Calvados;st-sever-calvados;;;48.8333330000;-1.0333330000;29;FR;Europe/Paris;f;f;f;f;f;f;FRAAS;;t;;f;;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;29;;;;;;;;;;;;;;;Сен-Севе-Кальвадос;;;圣瑟韦卡尔瓦多;urn:trainline:public:nloc:csv29;
28;St-Sever Centre;st-sever-centre;8741929;87419291;48.839517;-1.049283;29;FR;Europe/Paris;f;f;f;t;f;f;FRDQV;;t;;f;8704656;f;;f;;f;;f;;f;;f;8704656;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;Сен-Север;;;圣瑟韦;urn:trainline:public:nloc:csv28;
29;St-Sever Calvados;st-sever-calvados;8744771;87447714;48.843608;-1.0516979;;FR;Europe/Paris;f;t;f;t;f;f;FRDUQ;SSX;t;;f;8704655;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;8700755;f;;f;FRDUQ;f;;f;f;;;;;;;;;;;;;;;;Сен-Севе-Кальвадос;;;圣瑟韦卡尔瓦多;urn:trainline:public:nloc:csv29;
30;Vire;vire;;;48.83897;-0.88928;;FR;Europe/Paris;t;f;f;t;f;f;FRAAT;;t;;f;;f;;f;;f;;f;;f;;f;8700424;f;;f;;f;;;;f;;f;8700754;f;;f;;f;;f;f;;;;;;;;;;;;ヴィール;;;;Вир;;;维尔;urn:trainline:public:nloc:csv30;
31;Vire Centre;vire-centre;8744816;87448167;48.837638;-0.880538;30;FR;Europe/Paris;f;f;f;f;f;f;FRDUY;;t;;f;8704890;f;;f;;f;;f;;f;;f;8704890;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;ヴィール;;;;Вир;;;维尔;urn:trainline:public:nloc:csv31;
